sample,signal,definition,horizon,periods,pairs,mean_ic,median_ic,ic_std,hit_rate,hac_t_stat,pvalue,base_signal
orthogonalized,gross_profitability__net_bm,Gross profit / total assets; orthogonalized to B/M,12m,25,1225,-0.19684842224515087,-0.21397959183673468,0.07947175159553171,0.04,-9.911394910740418,0.0,gross_profitability
orthogonalized,gross_profitability__net_bm_size_liq,Gross profit / total assets; orthogonalized to B/M+size+liquidity,1m,36,1805,-0.023496221977635897,-0.02196463051069044,0.1624054466833954,0.3888888888888889,-0.8574856351422592,0.3911765503127558,gross_profitability
orthogonalized,gross_profitability__net_bm_size_liq,Gross profit / total assets; orthogonalized to B/M+size+liquidity,3m,34,1697,-0.05767876949237498,-0.09699279711884753,0.16281419433894015,0.29411764705882354,-1.5020517949239183,0.13308373285755337,gross_profitability
orthogonalized,gross_profitability__net_bm_size_liq,Gross profit / total assets; orthogonalized to B/M+size+liquidity,6m,31,1535,-0.0921902945188831,-0.13867700711163256,0.13438693457964251,0.1935483870967742,-2.313225356252965,0.020710252160276665,gross_profitability
orthogonalized,gross_profitability__net_bm_size_liq,Gross profit / total assets; orthogonalized to B/M+size+liquidity,12m,25,1223,-0.15815855982398616,-0.1704081632653061,0.08328512677344971,0.04,-8.323670968486487,0.0,gross_profitability
orthogonalized,roe_standalone__net_bm,Net income / book equity or stored ROE; orthogonalized to B/M,1m,49,2520,-0.008231858720914267,-0.02509157509157509,0.19146175234585067,0.4489795918367347,-0.2932622167969146,0.769321731253799,roe_standalone
orthogonalized,roe_standalone__net_bm,Net income / book equity or stored ROE; orthogonalized to B/M,3m,47,2380,-0.04674584425888248,-0.04895104895104895,0.18478324279900793,0.40425531914893614,-1.1879821692628707,0.234840434667277,roe_standalone
orthogonalized,roe_standalone__net_bm,Net income / book equity or stored ROE; orthogonalized to B/M,6m,44,2170,-0.04797101561526853,-0.04310527780677034,0.15781624652619206,0.45454545454545453,-1.0138027283097166,0.31067689319163216,roe_standalone
orthogonalized,roe_standalone__net_bm,Net income / book equity or stored ROE; orthogonalized to B/M,12m,38,1761,-0.07991532188079241,-0.08244915523868929,0.19305154016053722,0.34210526315789475,-1.0264917335154915,0.3046598581458615,roe_standalone
orthogonalized,roe_standalone__net_bm_size_liq,Net income / book equity or stored ROE; orthogonalized to B/M+size+liquidity,1m,38,2386,0.018172906578399397,0.0178974845764856,0.13873444499405332,0.5263157894736842,0.790802083185603,0.4290594941097505,roe_standalone
orthogonalized,roe_standalone__net_bm_size_liq,Net income / book equity or stored ROE; orthogonalized to B/M+size+liquidity,3m,36,2246,0.01780718754839636,0.00818971140799499,0.1223644200101474,0.5277777777777778,0.6284143353136081,0.5297325485759725,roe_standalone
