sample,signal,definition,horizon,periods,pairs,mean_ic,median_ic,ic_std,hit_rate,hac_t_stat,pvalue,base_signal
orthogonalized,sales_price__net_bm_size_liq,Revenue / market cap; orthogonalized to B/M+size+liquidity,12m,25,1528,0.13055358998417887,0.14087246457349267,0.09364355244386051,0.88,4.781644227874465,1.73867190911281e-06,sales_price
orthogonalized,ebitda_ev_yield__net_bm,EBITDA / enterprise value; orthogonalized to B/M,1m,49,2137,-0.008210479217141952,-0.010329712216504668,0.22923870461002904,0.4489795918367347,-0.2821854486873498,0.7778013153915802,ebitda_ev_yield
orthogonalized,ebitda_ev_yield__net_bm,EBITDA / enterprise value; orthogonalized to B/M,3m,47,2012,-0.006101934546676666,0.0,0.20581319997231023,0.48936170212765956,-0.16260617533756172,0.8708285244946814,ebitda_ev_yield
orthogonalized,ebitda_ev_yield__net_bm,EBITDA / enterprise value; orthogonalized to B/M,6m,44,1822,0.01611378392478676,0.08323584172640776,0.23364645790028996,0.6818181818181818,0.2672348775093719,0.7892883239365118,ebitda_ev_yield
orthogonalized,ebitda_ev_yield__net_bm,EBITDA / enterprise value; orthogonalized to B/M,12m,38,1449,0.13858087301135558,0.19480728914691176,0.15362240046807363,0.8421052631578947,3.5412819293984032,0.00039818785865053385,ebitda_ev_yield
orthogonalized,ebitda_ev_yield__net_bm_size_liq,EBITDA / enterprise value; orthogonalized to B/M+size+liquidity,1m,36,1992,0.034998524198554336,0.04335723879343193,0.11460215622712774,0.5833333333333334,1.933499826287918,0.05317465445910252,ebitda_ev_yield
orthogonalized,ebitda_ev_yield__net_bm_size_liq,EBITDA / enterprise value; orthogonalized to B/M+size+liquidity,3m,34,1867,0.06542487561687077,0.0735991634582483,0.10545129020081485,0.7647058823529411,3.0165732973113664,0.002556494022569966,ebitda_ev_yield
orthogonalized,ebitda_ev_yield__net_bm_size_liq,EBITDA / enterprise value; orthogonalized to B/M+size+liquidity,6m,31,1677,0.08933035875974618,0.08096245372818613,0.07957606952451014,0.9354838709677419,5.4664493472162095,4.591395486031047e-08,ebitda_ev_yield
orthogonalized,ebitda_ev_yield__net_bm_size_liq,EBITDA / enterprise value; orthogonalized to B/M+size+liquidity,12m,25,1304,0.1389908435172165,0.13606557377049178,0.0639516164285909,1.0,11.970818932353579,0.0,ebitda_ev_yield
orthogonalized,small_size__net_bm,-log(MarketCap); orthogonalized to B/M,1m,49,2399,-0.024386510156238255,-0.015600998463901693,0.2269783742739155,0.42857142857142855,-0.7531417302524278,0.45136475022539724,small_size
orthogonalized,small_size__net_bm,-log(MarketCap); orthogonalized to B/M,3m,47,2265,-0.012622599850422139,6.556015691122256e-05,0.22123831030766639,0.5106382978723404,-0.2640045554469176,0.7917764085137147,small_size
orthogonalized,small_size__net_bm,-log(MarketCap); orthogonalized to B/M,6m,44,2064,0.0005199777143980597,0.03326998006400439,0.23717510455460708,0.5909090909090909,0.007478958675673665,0.9940327099717343,small_size
orthogonalized,small_size__net_bm,-log(MarketCap); orthogonalized to B/M,12m,38,1673,0.07732624727586644,0.08418001881777662,0.214716509445155,0.7105263157894737,1.2413560296141994,0.2144742548883869,small_size
orthogonalized,small_size__net_bm_size_liq,-log(MarketCap); orthogonalized to B/M+size+liquidity,1m,36,2254,-0.02639330934558146,-0.04003704906212367,0.22794852750400188,0.4722222222222222,-0.8318904648096588,0.4054707744702628,small_size
orthogonalized,small_size__net_bm_size_liq,-log(MarketCap); orthogonalized to B/M+size+liquidity,3m,34,2120,0.02001754057203033,0.030955008106647447,0.22715961407172813,0.5882352941176471,0.7271194593097919,0.46715277908451336,small_size
orthogonalized,small_size__net_bm_size_liq,-log(MarketCap); orthogonalized to B/M+size+liquidity,6m,31,1919,0.037133920953383186,0.015384791493584574,0.23083336709922286,0.5483870967741935,1.3887946039521044,0.1648952165753128,small_size
orthogonalized,small_size__net_bm_size_liq,-log(MarketCap); orthogonalized to B/M+size+liquidity,12m,25,1528,0.045523230634514515,0.04171466973886329,0.18311393250446745,0.56,1.6957042651733638,0.0899419003905888,small_size
orthogonalized,size_log_mcap__net_bm,log(MarketCap); orthogonalized to B/M,1m,49,2399,0.024386510156238255,0.015600998463901693,0.2269783742739155,0.5714285714285714,0.7531417302524278,0.45136475022539724,size_log_mcap
orthogonalized,size_log_mcap__net_bm,log(MarketCap); orthogonalized to B/M,3m,47,2265,0.012622599850422139,-6.556015691122256e-05,0.22123831030766639,0.48936170212765956,0.2640045554469176,0.7917764085137147,size_log_mcap
orthogonalized,size_log_mcap__net_bm,log(MarketCap); orthogonalized to B/M,6m,44,2064,-0.0005199777143980597,-0.03326998006400439,0.23717510455460708,0.4090909090909091,-0.007478958675673665,0.9940327099717343,size_log_mcap
orthogonalized,size_log_mcap__net_bm,log(MarketCap); orthogonalized to B/M,12m,38,1673,-0.07732624727586644,-0.08418001881777662,0.214716509445155,0.2894736842105263,-1.2413560296141994,0.2144742548883869,size_log_mcap
orthogonalized,size_log_mcap__net_bm_size_liq,log(MarketCap); orthogonalized to B/M+size+liquidity,1m,36,2254,0.031190736914110548,0.033602078777077625,0.13434842140962502,0.6388888888888888,1.3823893800368086,0.16685217516847617,size_log_mcap
orthogonalized,size_log_mcap__net_bm_size_liq,log(MarketCap); orthogonalized to B/M+size+liquidity,3m,34,2120,0.033270077658097245,0.023093202141457953,0.17640335887845618,0.5588235294117647,0.7200686157887115,0.4714827496880023,size_log_mcap
orthogonalized,size_log_mcap__net_bm_size_liq,log(MarketCap); orthogonalized to B/M+size+liquidity,6m,31,1919,0.011357660427262814,-0.022814685314685314,0.1987873525938794,0.45161290322580644,0.15444043109825228,0.8772624766479986,size_log_mcap
orthogonalized,size_log_mcap__net_bm_size_liq,log(MarketCap); orthogonalized to B/M+size+liquidity,12m,25,1528,-0.07387311393745531,-0.1339427362695475,0.20843322525921168,0.24,-0.8347384303404436,0.4038649987568963,size_log_mcap
orthogonalized,operating_profitability_approx__net_bm,Operating income / book equity; ROE fallback for financials; orthogonalized to B/M,1m,49,2399,0.0037886261156034563,0.005244755244755245,0.1902889448459951,0.5102040816326531,0.13095112556219224,0.8958139705129313,operating_profitability_approx
orthogonalized,operating_profitability_approx__net_bm,Operating income / book equity; ROE fallback for financials; orthogonalized to B/M,3m,47,2265,-0.014648729388431763,0.02427287149656266,0.2013409124322209,0.5531914893617021,-0.3016750624194513,0.7628997804050552,operating_profitability_approx
