symbol,as_of_date,fair_value,close,valuation_gap,usable_model_count,confidence_score,warnings
HPS,2025-09-30,218.897325820226,500.0,-0.5622053483595479,5,0.8428674500798408,fcfe_dcf_severe_fcf_quality_warning;ic_weight_fallback_for_uncovered_models
IAM,2025-09-30,,116.7,,3,0.7983339256970698,fcff_dcf_terminal_value_dominates_dcf;fcfe_dcf_terminal_value_dominates_dcf;justified_multiples_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models;headline_review_required_extreme_downside;headline_review_weak_model_coverage;headline_review_weak_method_class_agreement
IBC,2025-09-30,,72.0,,0,,no_usable_valuation_models
IMO,2025-09-30,79.71224223214855,91.45,-0.1283516431695073,4,0.7943340131285023,fcff_dcf_severe_fcf_quality_warning;fcfe_dcf_severe_fcf_quality_warning;ic_weight_fallback_for_uncovered_models
INV,2025-09-30,138.94606166642973,163.9,-0.15225099654405294,3,0.495,ic_weight_fallback_for_uncovered_models
JET,2025-09-30,3386.0035842037605,2390.0,0.4167379013404855,4,0.7281187245328434,fcff_dcf_terminal_value_dominates_dcf;fcfe_dcf_terminal_value_dominates_dcf;ic_weight_fallback_for_uncovered_models
LBV,2025-09-30,1045.2976018427016,4653.0,-0.7753497524516008,4,0.6651859412730123,ic_weight_fallback_for_uncovered_models
LES,2025-09-30,81.19451945880392,330.0,-0.7539560016399881,6,0.7716124835564192,ic_weight_fallback_for_uncovered_models
LHM,2025-09-30,,1900.0,,6,0.8264675258907084,ic_weight_fallback_for_uncovered_models;headline_review_shared_input_bias;headline_review_confident_downside_low_information
M2M,2025-09-30,459.4704740450123,453.2,0.01383599745148345,1,0.675,fcff_dcf_terminal_value_dominates_dcf;headline_review_shared_input_bias
MAB,2025-09-30,,917.0,,0,,no_usable_valuation_models
MDP,2025-09-30,14.443418339355041,29.0,-0.5019510917463779,2,0.395,ic_weight_fallback_for_uncovered_models
MIC,2025-09-30,604.0915176819899,828.0,-0.27042087236474655,4,0.9252216242568951,fcff_dcf_excluded_cross_model_outlier;justified_multiples_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models
MLE,2025-09-30,,366.65,,0,,no_usable_valuation_models
MNG,2025-09-30,,5903.0,,4,0.56875,ic_weight_fallback_for_uncovered_models;headline_review_shared_input_bias;headline_review_confident_downside_low_information
MOX,2025-09-30,565.5022053462701,393.3,0.4378393220093315,3,0.495,ic_weight_fallback_for_uncovered_models
MSA,2025-09-30,299.99784362545233,950.0,-0.6842127961837343,5,0.8570431828074925,justified_multiples_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models
MUT,2025-09-30,154.65117094198504,277.8,-0.44330032058320723,4,0.7369348663339284,fcfe_dcf_severe_fcf_quality_warning;justified_multiples_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models
NKL,2025-09-30,,53.99,,0,,no_usable_valuation_models
OUL,2025-09-30,946.0840612714076,1153.0,-0.17945874998143319,4,0.7421131332249665,ic_weight_fallback_for_uncovered_models
RDS,2025-09-30,,177.0,,1,0.675,headline_review_shared_input_bias;headline_review_required_extreme_upside;headline_review_weak_model_coverage
REB,2025-09-30,,111.95,,1,0.675,ddm_severe_dividend_quality_warning;headline_review_shared_input_bias;headline_review_required_extreme_upside;headline_review_weak_model_coverage
RIS,2025-09-30,91.77582682561447,409.95,-0.7761292186227235,4,0.7552931851196114,ddm_terminal_value_dominates_dcf;ic_weight_fallback_for_uncovered_models
S2M,2025-09-30,640.619479894744,627.3,0.02123303028015955,5,0.872648987130066,ic_weight_fallback_for_uncovered_models
SAH,2025-09-30,,1950.0,,0,,no_usable_valuation_models
SBM,2025-09-30,806.0510007245506,2390.0,-0.6627401670608575,6,0.7082318396301046,ic_weight_fallback_for_uncovered_models
SID,2025-09-30,529.0355992880604,2340.0,-0.773916410560658,3,0.8412127228756188,justified_multiples_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models;headline_review_shared_input_bias
SLF,2025-09-30,,680.0,,0,,no_usable_valuation_models
SMI,2025-09-30,2088.1779833042688,2567.0,-0.18652980782848894,3,0.7630693789845135,justified_multiples_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models;headline_review_shared_input_bias
