sample,signal,definition,horizon,periods,pairs,mean_ic,median_ic,ic_std,hit_rate,hac_t_stat,pvalue
native,revenue_growth,C latest revenue growth,6m,68,2354,0.10227563229376045,0.027609440361293196,0.2924198061860045,0.5,1.5684236211281264,0.1167823020712544
native,revenue_growth,C latest revenue growth,12m,62,1939,0.07240348755792007,0.0312238240704199,0.25771314813410584,0.532258064516129,0.9522653206080761,0.3409624408409391
native,earnings_growth,C latest positive-base earnings growth,1m,73,2397,0.05668310887380248,0.07142857142857144,0.2797408721045065,0.5753424657534246,1.6639841029392626,0.09611560629894611
native,earnings_growth,C latest positive-base earnings growth,3m,71,2266,0.2105463504145293,0.12815385462822068,0.35050539207694986,0.7323943661971831,3.567350574353591,0.000360608890614067
native,earnings_growth,C latest positive-base earnings growth,6m,68,2071,0.2545864827649511,0.14324625068933367,0.35474691102035294,0.8088235294117647,2.9772047413241345,0.0029088968026294015
native,earnings_growth,C latest positive-base earnings growth,12m,62,1705,0.3023900383003164,0.37102661487956107,0.360505474566771,0.6935483870967742,2.3383161581276393,0.019370853420376033
native,sfc_custom_v2,Legacy benchmark current SFC core score,1m,61,2635,0.023205141169693355,0.036499817318231646,0.2647780404672102,0.5409836065573771,0.6994306628222783,0.48428293083350304
native,sfc_custom_v2,Legacy benchmark current SFC core score,3m,59,2493,0.01061248661065404,0.023809523809523815,0.21850901114547397,0.576271186440678,0.3003674367665907,0.7638968992636985
native,sfc_custom_v2,Legacy benchmark current SFC core score,6m,56,2280,0.032713922571246674,0.05538412421643327,0.15182586225221859,0.6428571428571429,1.197918444826553,0.23094876833441091
native,sfc_custom_v2,Legacy benchmark current SFC core score,12m,50,1865,0.13684504294893918,0.1207954511297118,0.1851805629108145,0.8,4.740227635532261,2.134782425500248e-06
