method,fold,fwd_horizon,n,utility_mean,utility_sum,ic,ic_tstat,hit_rate,coverage,cost_bps,train_start,train_end,test_start,test_end
threshold_optimized,2,10,974,-0.0008058402144973119,-0.7848883689203818,0.16123226104439853,2.3071670447044075,0.47144948755490484,0.7012320328542094,10.0,2002-03-04,2011-03-10,2011-03-25,2018-06-18
ridge_linear,2,10,974,-0.003158686935707164,-3.0765610753787778,0.14115461784797,2.140357489128829,0.44432989690721647,0.9958932238193019,10.0,2002-03-04,2011-03-10,2011-03-25,2018-06-18
isotonic_calibrated,2,10,974,-0.002375311519919315,-2.3135534204014125,0.10757416737613366,1.5512607358635127,0.4486652977412731,1.0,10.0,2002-03-04,2011-03-10,2011-03-25,2018-06-18
topsis_category,2,10,974,0.0005502032318997817,0.5358979478703874,0.18426213878181583,2.8821125756024255,0.5082135523613963,1.0,10.0,2002-03-04,2011-03-10,2011-03-25,2018-06-18
topsis_action,2,10,974,0.0017327040832140633,1.6876537770504976,0.15670434183040788,2.253602109296124,0.5649241146711635,0.608829568788501,10.0,2002-03-04,2011-03-10,2011-03-25,2018-06-18
ahp_topsis_prior,2,10,974,-0.001974035556474746,-1.9227106320064027,0.1706342377389002,2.5959294643080035,0.4671457905544148,1.0,10.0,2002-03-04,2011-03-10,2011-03-25,2018-06-18
baseline_fixed,3,10,1896,0.0006765427150386456,1.282724987713272,0.04448510517183492,0.9695548659573966,0.5173184357541899,0.9440928270042194,10.0,2002-03-04,2018-06-01,2018-06-19,2022-05-27
threshold_optimized,3,10,1896,-0.0007528976194700052,-1.4274938865151299,0.04448510517183492,0.9695548659573966,0.5319418089816572,0.8338607594936709,10.0,2002-03-04,2018-06-01,2018-06-19,2022-05-27
ridge_linear,3,10,1896,-0.0014878765436753224,-2.821013926808411,0.006401332194237281,0.15157983710637,0.5259562841530054,0.7721518987341772,10.0,2002-03-04,2018-06-01,2018-06-19,2022-05-27
isotonic_calibrated,3,10,1896,-0.0007528976194700052,-1.4274938865151299,0.042746107203375516,0.9906673312928014,0.5319418089816572,0.8338607594936709,10.0,2002-03-04,2018-06-01,2018-06-19,2022-05-27
topsis_category,3,10,1896,-0.002205305583095406,-4.1812593855488895,0.03467069582119559,0.7363843852874667,0.5092794759825328,0.9662447257383966,10.0,2002-03-04,2018-06-01,2018-06-19,2022-05-27
topsis_action,3,10,1896,0.00023640031248831203,0.4482149924778396,0.042551052743834035,0.9378901073336703,0.5281007751937985,0.5443037974683544,10.0,2002-03-04,2018-06-01,2018-06-19,2022-05-27
ahp_topsis_prior,3,10,1896,-0.002205305583095406,-4.1812593855488895,0.029578197988687608,0.6339110171893451,0.5092794759825328,0.9662447257383966,10.0,2002-03-04,2018-06-01,2018-06-19,2022-05-27
baseline_fixed,4,10,11727,0.006712945862935596,78.72271613464574,0.05868251900674357,4.193248248676799,0.5038601060366478,0.9167732582928285,10.0,2002-03-04,2022-05-13,2022-05-30,2026-04-27
threshold_optimized,4,10,11727,0.011067284269923568,129.7860426333937,0.05868251900674357,4.193248248676799,0.5113335295849278,0.8690202097723203,10.0,2002-03-04,2022-05-13,2022-05-30,2026-04-27
