symbol,statement_year,metric_name,n_distinct_values,min_value,max_value,ratio_max_min,sources_involved,classification,n_raw_rows
DYT,2025,EBITDA,2,36590000.0,38604845.52,1.0550654692538946,bvc;stockanalysis;workbook,E_source_disagreement,3
DYT,2025,NetIncome,2,25878107.91,25880000.0,1.0000731154691287,bvc;stockanalysis,B_harmless_equivalent,2
DYT,2025,Revenue,2,637380000.0,637384403.73,1.0000069091123036,bvc;stockanalysis,B_harmless_equivalent,2
DYT,2025,Total_Debt,2,2138400.48,127470000.0,59.60997539618958,bvc;stockanalysis,E_source_disagreement,2
DYT,2025,Total_Equity,2,185030000.0,185034938.69,1.0000266912933038,bvc;stockanalysis,B_harmless_equivalent,2
EQD,2021,Cash,2,175000.0,180000.0,1.0285714285714285,bvc;stockanalysis,E_source_disagreement,2
EQD,2021,EBITDA,2,110731000.0,673899000.0,6.085910901192981,workbook,E_source_disagreement,4
EQD,2021,NetIncome,2,32600000.0,33291000.0,1.021196319018405,bvc;stockanalysis,E_source_disagreement,2
EQD,2021,Revenue,2,589895000.0,1730000000.0,2.932725315522254,bvc;stockanalysis,E_source_disagreement,2
EQD,2021,Total_Debt,2,5833950000.0,6016000000.0,1.0312052725854695,bvc;stockanalysis,E_source_disagreement,2
EQD,2021,Total_Equity,2,1467000000.0,1944287000.0,1.3253490115882753,bvc;stockanalysis,E_source_disagreement,2
EQD,2022,Cash,2,2780000.0,2784000.0,1.0014388489208632,bvc;stockanalysis,E_source_disagreement,2
EQD,2022,EBITDA,2,631033000.0,743503000.0,1.1782315663364673,workbook,E_source_disagreement,4
EQD,2022,NetIncome,2,88320000.0,88911000.0,1.0066915760869566,bvc;stockanalysis,E_source_disagreement,2
EQD,2022,Revenue,2,1184364000.0,1647000000.0,1.3906197756770722,bvc;stockanalysis,E_source_disagreement,2
EQD,2022,Total_Debt,2,5311088000.0,5491000000.0,1.033874791756416,bvc;stockanalysis,E_source_disagreement,2
EQD,2022,Total_Equity,2,1488000000.0,2000018000.0,1.34409811827957,bvc;stockanalysis,E_source_disagreement,2
EQD,2023,Cash,2,6825000.0,6830000.0,1.0007326007326007,bvc;stockanalysis,B_harmless_equivalent,2
EQD,2023,EnterpriseValue,2,3280142000.0,7143000000.0,2.177649626144234,workbook,E_source_disagreement,4
EQD,2023,NetIncome,2,88570000.0,89125000.0,1.0062662301004854,bvc;stockanalysis,E_source_disagreement,2
EQD,2023,Revenue,2,553344000.0,1576000000.0,2.8481378672218365,bvc;stockanalysis,E_source_disagreement,2
EQD,2023,Total_Debt,2,3160673000.0,5586000000.0,1.7673451192198624,bvc;stockanalysis,E_source_disagreement,2
EQD,2023,Total_Equity,2,1484898000.0,1485000000.0,1.0000686915868968,bvc;stockanalysis,B_harmless_equivalent,2
EQD,2024,Cash,2,80000.0,567000.0,7.0875,bvc;stockanalysis,E_source_disagreement,2
EQD,2024,EnterpriseValue,3,1920787500.0,6407201500.0,3.3357159498382827,workbook,E_source_disagreement,6
EQD,2024,NetIncome,2,-6963000.0,-5320000.0,0.7640384891569726,bvc;stockanalysis,E_source_disagreement,2
EQD,2024,Revenue,2,539602000.0,1610000000.0,2.983680564564253,bvc;stockanalysis,E_source_disagreement,2
EQD,2024,Total_Debt,2,1289739000.0,5785000000.0,4.48540363592944,bvc;stockanalysis,E_source_disagreement,2
EQD,2024,Total_Equity,2,1387784000.0,1388000000.0,1.00015564381777,bvc;stockanalysis,B_harmless_equivalent,2
EQD,2025,Cash,2,647000.0,670000.0,1.035548686244204,bvc;stockanalysis,E_source_disagreement,2
