document_id,tagged_symbol,actual_company_name,document_title,source_url,publication_date,fiscal_year
2360,REB,SOCIETE MAGHREBINE DE MONETIQUE,S2M : Rapport financier au 30 juin 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/S2M/fr/S2M_RFS_JUIN_21_fr.pdf,2021-10-04,2021
2351,REB,SOCIETE MAGHREBINE DE MONETIQUE,S2M : Nomination du Président du Directoire,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/S2M/fr/S2M_CP_NOMIN_21_fr.pdf,2021-10-06,2021
2343,REB,MAGHREB OXYGENE,Maghreb Oxygène : Résultats financiers 2021 et avis de convocation à l'AGO du 18 avril 2022,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MOX/fr/MOX_RA_2021_AGO_18_04_22_fr.pdf,2022-03-15,2021
2013,REB,MAGHREBAIL,Maghrebail : Indicateurs du 3ème trimestre 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MAB/fr/MAB_T3_21_fr.pdf,2021-11-25,2021
1996,REB,MAGHREBAIL,Maghrebail  : indicateurs du 4ème trimestre 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MAB/fr/MAB_T4_21_fr.pdf,2022-02-25,2021
2197,REB,SOCIETE MAGHREBINE DE MONETIQUE,S2M : Indicateurs du 1er trimestre 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/S2M/fr/S2M_T1_2021_fr.pdf,2021-05-31,2021
2183,REB,SOCIETE MAGHREBINE DE MONETIQUE,S2M : Indicateurs du 2ème trimestre 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/S2M/fr/S2M_T2_2021_fr.pdf,2021-08-31,2021
2174,REB,SOCIETE MAGHREBINE DE MONETIQUE,S2M : Indicateurs du 3ème trimestre 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/S2M/fr/S2M_T3_2021_fr.pdf,2021-11-30,2021
1950,REB,SOCIETE DE PROMOTION PHARMACEUTIQUE DU MAGHREB S.A,Promopharm : indicateurs du 4ème trimestre 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/PRO/fr/PRO_T4_21_fr.pdf,2022-02-25,2021
2135,REB,MAGHREBAIL,Maghrebail - Indicateurs du 1er trimestre 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MAB/fr/MAB_IND_T1_21_fr.pdf,2021-05-28,2021
2130,REB,MAGHREBAIL,Maghrebail : Indicateurs du 2ème trimestre 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MAB/fr/MAB_T2_21_fr.pdf,2021-09-01,2021
1852,REB,MAGHREB OXYGENE,Maghreb Oxygene : Indicateurs du 3ème trimestre 2021,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MOX/fr/MOX-T3-2021_fr.pdf,2021-11-30,2021
28,REB,SOCIETE DE PROMOTION PHARMACEUTIQUE DU MAGHREB S.A,RRO : Résultats financiers 2022 et CP RFA 2022,https://media.casablanca-bourse.com/sites/default/files/2023-04/pro_rf_22.pdf,2023-04-28,2022
